,date,text,compound,positive,negative,neutral
58,2021-08-16,"What happened
Popular meme cryptocurrency Dogecoin was up 9.56% to $0.3346 per token as of 10:30 a.m. EDT today. On Aug 14., billionaire Dallas Mavericks owner Mark Cuban called Dogecoin the stronge… [+1899 chars]",0.4215,0.078,0.0,0.922
59,2021-08-24,"<ul><li>Buy &amp; sell popular cryptocurrencies &amp; stablecoins like Bitcoin, Ether, Litecoin, PAX Gold, USD Coin, Gemini Dollar, &amp; Tether.</li><li>Earn more from your crypto with up to 7.5% AP… [+873 chars]",0.6486,0.159,0.0,0.841
60,2021-09-05,"A DealNews exclusive!Buy and sell cryptocurrency with Coinbase and get free Bitcoin when you sign up using coupon code ""DEALNEWS10"" and verify your ID. 
<ul><li>You don't have to buy the whole coin!… [+570 chars]",0.5972,0.108,0.0,0.892
61,2021-09-13,"BENTONVILLE, Ark., Sept. 13, 2021 (GLOBE NEWSWIRE) -- Walmart Inc. (NYSE: WMT), the No. 1 U.S. retailer and worlds largest grocer, is pleased to announce a major partnership with Litecoin. The eComme… [+3096 chars]",0.1779,0.083,0.063,0.855
62,2021-08-18,"A DealNews exclusive!Buy and sell cryptocurrency with Coinbase and get free Bitcoin when you sign up using coupon code ""DEALNEWS10"" and verify your ID. 
<ul><li>You don't have to buy the whole coin!… [+569 chars]",0.5972,0.108,0.0,0.892
63,2021-08-27,"A DealNews exclusive!Buy and sell cryptocurrency with Coinbase and get free Bitcoin when you sign up using coupon code ""DEALNEWS10"" and verify your ID. 
<ul><li>You don't have to buy the whole coin!… [+570 chars]",0.5972,0.108,0.0,0.892
64,2021-08-23,"Bitcoin jumped above $50,000 Monday morning as PayPal announced it would be expanding its cryptocurrency services beyond the U.S., marking the digital currencys highest price since May as the cryptoc… [+2216 chars]",0.0,0.0,0.0,1.0
65,2021-08-23,"The following is an excerpt from the daily CryptoCodex email newsletter. Sign up now for free here
Bitcoin hit $50,000 overnight, finally crossing the closely-watched level after a more than month-l… [+4386 chars]",0.5106,0.096,0.0,0.904
66,2021-08-16,"Bitcoin has been trading above $45,000 today after reaching a recent high over the weekend. 
getty
Bitcoin prices have experienced some notable gains lately, rising to a fresh, multi-month high ove… [+5903 chars]",0.6705,0.188,0.0,0.812
67,2021-09-14,"Matt Levine's Money Stuff is what's missing from your inboxWe know you're busy. Let Bloomberg Opinion's Matt Levine unpack all the Wall Street drama for you.
Oh Litecoin
One thing you can do is buy… [+26231 chars]",-0.296,0.0,0.058,0.942
68,2021-09-01,Dogecoin Core Portable has been released. It's cryptocurrency like bitcoin preferred by shibes. It's packaged in PortableApps.com Format so it can easily integrate with the PortableApps.com Platform.… [+1519 chars],0.6326,0.161,0.0,0.839
69,2021-09-13,"TOPSHOT - A woman buys in a store that accepts bitcoins in El Zonte, La Libertad, El Salvador on ... [+] September 4, 2021. - The Congress of El Salvador approved in June a law that will make bitcoin… [+4919 chars]",0.6249,0.13,0.0,0.87
70,2021-09-10,"Grayscale® Bitcoin Cash Trust, Grayscale® Ethereum Classic Trust, and Grayscale® Litecoin Trust are now SEC reporting companies
New York, Sept. 10, 2021 (GLOBE NEWSWIRE) -- Grayscale Investments®, t… [+4196 chars]",0.872,0.268,0.0,0.732
71,2021-08-31,"Global payments powerhouse PayPal may be considering expanding into the retail investing business, reports have claimed.
According to CNBC, the company is considering allowing its users to trade sto… [+1916 chars]",0.0,0.0,0.0,1.0
72,2021-09-01,"A visual representation of cryptocurrencies including Bitcoin, Ripple, Ether, Dash, Monero and ... [+] Litecoin.
Getty Images
After a successful breakout past $3,400 for the first time since May ye… [+2454 chars]",0.5859,0.116,0.0,0.884
73,2021-09-08,"Doja Cat lives in a world filled with flowers, diamonds, and crypto. At least that’s what can be found on the website hosting Planet Doja, which is what the pop star named her just-announced collecti… [+3020 chars]",0.0,0.0,0.0,1.0
74,2021-09-13,"Cryptocurrency Litecoin saw a sudden surge in price on Monday over a press release about Walmart accepting it for payment - which turned out to be fake.
The release, published through a legitimate p… [+2741 chars]",-0.128,0.073,0.087,0.84
75,2021-09-03,"Bitcoin has struggled to reach its all-time high over the last several months. 
getty
Bitcoin prices have been doing well lately, following a steady, upward trend for the last several weeks as they… [+5851 chars]",-0.0516,0.087,0.066,0.847
